name,number,image,date,Batch,Type,Rank,Total Score,Bonus Score,Background,Background Score,Base,Base Score,Outfit,Outfit Score,Necklace,Necklace Score,Eye,Eye Score,Beard,Beard Score,Hair,Hair Score,Hat,Hat Score,Hand_Accessories,Hand_Accessories Score,Shoulder,Shoulder Score,Mouth,Mouth Score,Unlock_Date
Pixel Pirates #43,43,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/43.png,1650738165708,1,Common,459.0,76.81444866646243,0,Plue,10.534246575342467,Base_Red,6.252032520325203,Regular_Pirate_Suit,6.462184873949579,None,1.5535353535353538,Eye_Patch,1.9922279792746114,Long_Beard,7.927835051546392,Ginger_Hair,7.394230769230769,None,5.026143790849673,Hook_Hand,6.68695652173913,Corgi_Dog,13.491228070175438,Smoke_Pipe,9.493827160493828,1653350400
Pixel Pirates #44,44,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/44.png,1650738166163,1,Common,97.0,100.60575011339465,0,Light_Luminous_,8.941860465116278,Base_Grey,6.572649572649572,None,6.252032520325203,None,1.5535353535353538,None,2.24198250728863,None,6.629310344827586,White_Hair,6.408333333333332,Bandana_Hat,24.03125,Gun_Gold,25.63333333333333,Parrot_Yellow,10.680555555555555,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #45,45,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/45.png,1650738179009,1,Common,569.0,72.59431768012266,0,Grey,10.985714285714286,Base_Blue,6.252032520325203,Regular_Pirate_Suit_Green_And_Grey,6.866071428571429,None,1.5535353535353538,Eye_Patch,1.9922279792746114,Long_Beard_Ginger,9.6125,Ginger_Hair,7.394230769230769,Pirate_Hat,7.186915887850468,Hook_Hand,6.68695652173913,Monkey_Ginger,12.403225806451612,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #47,47,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/47.png,1650738193797,1,Common,389.0,80.32233305502113,0,Light_Red,10.680555555555555,Base_Pink,5.825757575757576,Regular_Pirate_Suit_Blue_And_Blue,7.12037037037037,None,1.5535353535353538,None,2.24198250728863,Long_Beard_Ginger,9.6125,Blonde_Hair,5.825757575757576,Pirate_Hat,7.186915887850468,Whisky_Bottle,12.206349206349207,Corgi_Dog,13.491228070175438,Silver_Teeth,4.5773809523809526,1653350400
Pixel Pirates #48,48,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/48.png,1650738206629,1,Common,245.0,87.98608352826754,0,Plue,10.534246575342467,Base_Blue,6.252032520325203,Regular_Pirate_Suit,6.462184873949579,None,1.5535353535353538,Eye_Patch,1.9922279792746114,Long_Beard_Johnny,7.254716981132076,White_Hair,6.408333333333332,Bandana_Hat,24.03125,None,6.516949152542373,Monkey_Ginger,12.403225806451612,Silver_Teeth,4.5773809523809526,1653350400
Pixel Pirates #49,49,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/49.png,1650738233335,1,Common,320.0,83.7910368159281,0,Purple,10.534246575342467,Base_Red,6.252032520325203,Regular_Pirate_Suit_Red_And_Luminous_,6.745614035087719,Bottle_Ship_Necklace_Gold,15.693877551020408,None,2.24198250728863,Long_Beard,7.927835051546392,Black_Hair,7.3238095238095235,Pirate_Hat_Orange,8.640449438202246,None,6.516949152542373,Parrot_Green,10.253333333333334,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #50,50,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/50.png,1650738233792,1,Common,225.0,88.72505172352429,0,Light_Luminous_,8.941860465116278,Base_Red,6.252032520325203,Regular_Pirate_Suit,6.462184873949579,Bottle_Ship_Necklace_Silver,3.4330357142857144,Eye_Patch,1.9922279792746114,Goatee,8.839080459770116,Sparrow_Hair_White,7.53921568627451,Bandana_Hat_Dark_Blue,22.61764705882353,Sword,7.254716981132076,Corgi_Dog_Red_No_Tail,13.732142857142858,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #51,51,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/51.png,1650738260109,1,Common,143.0,94.73569878490343,0,Light_Green,10.391891891891891,Base_Grey,6.572649572649572,Regular_Pirate_Suit_Purple_And_Orange,6.68695652173913,Bottle_Ship_Necklace_Silver,3.4330357142857144,None,2.24198250728863,Stubble,9.378048780487804,White_Hair,6.408333333333332,Pirate_Hat_Pink,7.466019417475728,Ale,16.020833333333332,Parrot,9.047058823529412,Gold_Teeth,17.08888888888889,1653350400
Pixel Pirates #52,52,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/52.png,1650738286918,1,Common,580.0,72.26393060935477,0,Light_Pink,9.493827160493828,Base_Red,6.252032520325203,Regular_Pirate_Suit,6.462184873949579,None,1.5535353535353538,None,2.24198250728863,Stubble,9.378048780487804,Sparrow_Hair,8.941860465116278,None,5.026143790849673,Whisky_Bottle,12.206349206349207,Parrot,9.047058823529412,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #53,53,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/53.png,1650738300699,1,Common,173.0,91.87402901549135,0,Plue,10.534246575342467,Base,5.654411764705882,Regular_Pirate_Suit_Red_And_Luminous_,6.745614035087719,Bottle_Ship_Necklace_Silver,3.4330357142857144,None,2.24198250728863,None,6.629310344827586,Ginger_Hair,7.394230769230769,Pirate_Hat_Pink,7.466019417475728,Sword_Gold,26.517241379310345,Parrot_Yellow,10.680555555555555,Silver_Teeth,4.5773809523809526,1653350400
