name,number,image,date,Batch,Type,Rank,Total Score,Bonus Score,Background,Background Score,Base,Base Score,Outfit,Outfit Score,Necklace,Necklace Score,Eye,Eye Score,Beard,Beard Score,Hair,Hair Score,Hat,Hat Score,Hand_Accessories,Hand_Accessories Score,Shoulder,Shoulder Score,Mouth,Mouth Score,Unlock_Date,address
Pixel Pirates #562,562,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/562.png,1653675549067,4,Common,338.0,83.0854007697107,0,Light_Blue,9.6375,Base,5.669117647058823,,6.2682926829268295,,1.5575757575757574,,2.2412790697674416,Long_Beard_Ginger,9.51851851851852,Sparrow_Hair_White,7.485436893203883,Pirate_Hat,7.205607476635514,Whisky_Bottle,12.238095238095235,Octopus,11.86153846153846,Smoke_Pipe,9.402439024390244,1656374400,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pixel Pirates #563,563,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/563.png,1653675562673,4,Specials,17.0,3992.568647676531,2000,Black_Fire,192.75,Base_Satan,192.75,Regular_Pirate_Suit_Tattoo,771.0,Bottle_Ship_Necklace_Gold,15.734693877551022,Eye_Patch_Gold,21.416666666666668,Long_Beard_Johnny,7.273584905660376,Grey_Hair,385.5,,5.03921568627451,,6.533898305084746,Parrot,9.070588235294116,Smoking_Pipe,385.5,1656374400,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pixel Pirates #564,564,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/564.png,1653675576946,4,Common,587.0,71.88846316342968,0,Purple,10.561643835616438,Base,5.669117647058823,,6.2682926829268295,Bottle_Ship_Necklace_Silver,3.411504424778761,Eye_Patch,1.992248062015504,Long_Beard,7.948453608247423,Ginger_Hair,7.413461538461539,Pirate_Hat_Orange,8.566666666666666,,6.533898305084746,Octopus,11.86153846153846,Regular_Smile,1.6616379310344829,1656374400,0xd142aB6D8E7B3C7b2EfbDa250158cFA2b8680d63
Pixel Pirates #565,565,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/565.png,1653675656598,4,Common,39.0,131.99465954415763,0,Grey,10.859154929577464,Base_Green,7.0733944954128445,Regular_Pirate_Suit_Green_And_Grey,6.823008849557522,Bottle_Ship_Necklace_Silver,3.411504424778761,,2.2412790697674416,Stubble,9.402439024390244,Black_Hair,7.273584905660376,Pirate_Hat_Purple,8.290322580645162,Treasure,64.25,Parrot_Yellow,10.708333333333334,Regular_Smile,1.6616379310344829,1656374400,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
Pixel Pirates #568,568,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/568.png,1653675723687,4,Common,580.0,72.22290631709105,0,Light_Luminous_,8.965116279069766,Base_Green,7.0733944954128445,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,,1.5575757575757574,,2.2412790697674416,Long_Beard_Ginger,9.51851851851852,Sparrow_Hair_White,7.485436893203883,Pirate_Hat_Luminous,7.205607476635514,Handgun,7.948453608247423,Octopus,11.86153846153846,Regular_Smile,1.6616379310344829,1656374400,0x2E128BbAf2cf7F1523a434128D91c642C5C7efAd
Pixel Pirates #570,570,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/570.png,1653675763181,4,Legendary,4.0,8194.88739503584,5000,Light_Pink,9.51851851851852,Base_Corgi,771.0,,6.2682926829268295,Bottle_Ship_Necklace_Gold,15.734693877551022,Eye_Patch,1.992248062015504,,6.58974358974359,,64.25,Corgi_Dog_Red,771.0,,6.533898305084746,Corgi_Dog_Tail_and_Corgi_Dog_Tri_Colour,771.0,Corgi_Smile,771.0,1656374400,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pixel Pirates #571,571,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/571.png,1653675763692,4,Common,630.0,70.4959569795274,0,Light_Yellow,10.561643835616438,Base_Blue,6.2682926829268295,Regular_Pirate_Suit,6.478991596638656,,1.5575757575757574,,2.2412790697674416,Long_Beard_Black,7.342857142857143,Regular_Hair,7.709999999999999,,5.03921568627451,Treasure_Map,13.067796610169491,Monkey,8.566666666666666,Regular_Smile,1.6616379310344829,1656374400,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
Pixel Pirates #572,572,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/572.png,1653675803291,4,Common,403.0,79.71237444897358,0,Orange,9.884615384615383,Base_Red,6.168,,6.2682926829268295,Bottle_Ship_Necklace_Silver,3.411504424778761,,2.2412790697674416,Long_Beard,7.948453608247423,White_Hair,6.425,Pirate_Hat_Luminous,7.205607476635514,Ale,16.0625,Monkey_Ginger,12.43548387096774,Regular_Smile,1.6616379310344829,1656374400,0x2B87BBeA6f8dbDD861399E4c8930041fe2aE5AeC
Pixel Pirates #573,573,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/573.png,1653675829928,4,Common,643.0,69.97452878709579,0,Plue,10.561643835616438,Base_Red,6.168,Regular_Pirate_Suit,6.478991596638656,Bottle_Ship_Necklace_Silver,3.411504424778761,Eye_Patch,1.992248062015504,,6.58974358974359,White_Hair,6.425,Pirate_Hat_Purple,8.290322580645162,,6.533898305084746,Octopus,11.86153846153846,Regular_Smile,1.6616379310344829,1656374400,0x2B87BBeA6f8dbDD861399E4c8930041fe2aE5AeC
Pixel Pirates #574,574,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/574.png,1653675857315,4,Common,685.0,68.51530937484647,0,Orange,9.884615384615383,Base_Red,6.168,Regular_Pirate_Suit_Green_And_Grey,6.823008849557522,,1.5575757575757574,,2.2412790697674416,Long_Beard_Johnny,7.273584905660376,White_Hair,6.425,Pirate_Hat_Orange,8.566666666666666,Sword,7.205607476635514,Parrot_Yellow,10.708333333333334,Regular_Smile,1.6616379310344829,1656374400,0xFF332CcffBeA2F3b45C933063e308fe0FeAFA95d
