name,number,image,date,Batch,Type,Rank,Total Score,Background,Background Score,Skin,Skin Score,Body,Body Score,Eyes,Eyes Score,Weapon,Weapon Score,Necklace,Necklace Score,Eye Patch,Eye Patch Score,Hair,Hair Score,Hat,Hat Score,Mouth,Mouth Score,Pet,Pet Score,Unlock_Date,address
Pirate Life #686,686,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/686.png,1664654706797,3,Common,529.0,141.0273953839657,Abe_Cyan,17.346938775510203,Porcelain,6.115107913669064,Neked,3.695652173913044,Wink_Green,17.0,None,1.6865079365079367,Teeth_Gold,29.310344827586206,Eye_Patch_Right,2.599388379204893,Long_Hair_Goatee_Brown,34.0,None,1.847826086956522,Cheeky,8.947368421052632,Parrot_Green,18.47826086956522,1667330433,0x161e282653B87d5d71fD15d0ca15966154C63259
Pirate Life #687,687,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/687.png,1664654720346,3,Common,266.0,174.64138008278422,Abe_Purple,20.731707317073173,Espresso,6.343283582089552,Neked,3.695652173913044,Stoned_Eyes,12.318840579710145,Gun_Left,13.492063492063494,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Mid_Hair_Stubble_Blue,77.27272727272727,None,1.847826086956522,Pipe_Gold,15.740740740740742,Parrot_Purple,18.88888888888889,1667330433,0xFC961534a0A55b925dB2c5ee546c8A019c0D78d5
Pirate Life #688,688,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/688.png,1664654760115,3,Common,284.0,170.42244936668357,Abe_Cyan,17.346938775510203,Espresso,6.343283582089552,Shirt_Red_Pink,16.666666666666668,Eyes_Red,60.71428571428571,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Long_Hair_Stubble_Brown,34.0,None,1.847826086956522,Teeth_Gold,10.0,Monkey_Blue,17.346938775510203,1667330433,0x546ACE3Eea396c1656867499b72741E414fe6116
Pirate Life #689,689,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/689.png,1664654786662,3,Common,706.0,123.79522865197367,Blue,18.88888888888889,Espresso,6.343283582089552,Neked,3.695652173913044,Angry_Eyes,13.492063492063494,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Long_Hair_Beard_Brown,26.562500000000004,Bandana_Red,19.76744186046512,Teeth_Gold,10.0,Parrot_Purple,18.88888888888889,1667330433,0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5
Pirate Life #690,690,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/690.png,1664654800211,3,Common,141.0,201.7442643289093,Mint,21.25,Goblin,25.0,Neked,3.695652173913044,Bulging_Eyes_Green,12.87878787878788,Gun_Dual,40.47619047619048,Teeth_Blood,18.08510638297872,Eye_Patch_Left,2.75974025974026,Mid_Hair_Beard_Blonde,32.69230769230769,Pirate_Hat_Red,19.318181818181817,Blunt,9.55056179775281,Parrot_Red,16.037735849056602,1667330433,0x161e282653B87d5d71fD15d0ca15966154C63259
Pirate Life #691,691,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/691.png,1664654813592,3,Common,846.0,95.72033223421349,Blue,18.88888888888889,Golden,7.264957264957266,Neked,3.695652173913044,Bulging_Eyes_Orange,12.686567164179104,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Mid_Hair_Beard_Blonde,32.69230769230769,None,1.847826086956522,Teeth_Gold,10.0,None,2.64797507788162,1667330433,0xd0fb5B26b4CA91e05Db9FF3c6ac7C365dBBc8C71
Pirate Life #692,692,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/692.png,1664654853433,3,Common,353.0,159.95455490709696,Yellow,16.666666666666668,Espresso,6.343283582089552,Neked,3.695652173913044,Bulging_Eyes_Green,12.87878787878788,Sword_Right_Gun_Left,44.73684210526316,Teeth_Blood,18.08510638297872,None,4.427083333333333,Long_Hair_Beard_Brown,26.562500000000004,None,1.847826086956522,Regular_Mouth,5.821917808219179,Parrot_Purple,18.88888888888889,1667330433,0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5
Pirate Life #693,693,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/693.png,1664654879940,3,Common,255.0,175.19723171396947,Abe_Purple,20.731707317073173,Espresso,6.343283582089552,Shirt_Pink_Grey,14.912280701754383,Angry_Eyes_Green,11.18421052631579,None,1.6865079365079367,None,1.7102615694164989,None,4.427083333333333,Mid_Hair_Goatee_Ginger,42.5,None,1.847826086956522,Teeth_Silver,9.13978494623656,Parrot_LQDR,60.71428571428571,1667330433,0xD473781816837C7cd2FADC34E66F09786D2E2694
Pirate Life #694,694,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/694.png,1664654880408,3,Common,46.0,245.70047305412072,Pink,20.731707317073173,Sand,7.327586206896552,Shirt_LQDR,15.454545454545451,Eyes_Red,60.71428571428571,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Long_Hair_Goatee_Grey,40.47619047619048,Pirate_Hat_Orange,24.285714285714285,Teeth_Gold,10.0,Parrot_LQDR,60.71428571428571,1667330433,0xD473781816837C7cd2FADC34E66F09786D2E2694
Pirate Life #695,695,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/695.png,1664654907058,3,Common,586.0,135.73143763104554,Puce,23.61111111111111,Concrete,17.708333333333332,Neked,3.695652173913044,Wink_Orange,14.655172413793103,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Long_Hair_Brown,30.35714285714285,Pirate_Hat_Blue,15.454545454545451,Open_Mouth,6.746031746031747,Monkey_Blue,17.346938775510203,1667330433,0xA04970c922ceA95a6a23DA3F1Ce36060c3e1D867
