name,number,image,date,Batch,Type,Rank,Total Score,Background,Background Score,Skin,Skin Score,Body,Body Score,Eyes,Eyes Score,Weapon,Weapon Score,Necklace,Necklace Score,Eye Patch,Eye Patch Score,Hair,Hair Score,Hat,Hat Score,Mouth,Mouth Score,Pet,Pet Score,Unlock_Date
Pirate Life #1040,1040,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1040.png,1669568981484,4,Common,517.0,157.2043410404816,Green,22.846153846153847,Porcelain,5.823529411764706,Shirt_Yellow_Black,16.5,Angry_Eyes_Blue,14.85,Gun_Right,12.24742268041237,None,1.7142857142857142,Eye_Patch_Left,2.8218527315914486,Long_Hair_Stubble_Brown,33.0,Bandana_Green,21.6,Cheeky,9.068702290076336,Monkey_Ginger,16.732394366197184,2
Pirate Life #1041,1041,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1041.png,1669571239170,4,Common,7.0,335.5616073805101,Stormy_Seas,51.652173913043484,Golden,7.615384615384615,Neked,3.819935691318328,Wink_Shadow,74.25,Sword_Dual,47.519999999999996,None,1.7142857142857142,Eye_Patch_Dual,37.125,Mid_Hair_Beard_Blonde,34.94117647058823,Pirate_Hat_Pink,17.73134328358209,Pipe_Gold,13.5,Penguin_Safe,45.69230769230769,2
Pirate Life #1042,1042,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1042.png,1669572242626,4,Common,522.0,156.92907864315902,Aureolin,18.276923076923076,Goblin,26.4,Neked,3.819935691318328,Wink_Green,14.666666666666668,Gun_Right,12.24742268041237,None,1.7142857142857142,None,4.432835820895522,Long_Hair_Goatee_Brown,33.0,Pirate_Hat_Blue,17.470588235294116,Regular_Mouth,5.739130434782608,Octopus,19.161290322580644,2
Pirate Life #1043,1043,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1043.png,1669572493677,4,Common,108.0,224.80043440713422,Grey,18.276923076923076,Sand,7.288343558282208,Neked,3.819935691318328,Wink_Blue,16.054054054054053,Gun_Right,12.24742268041237,None,1.7142857142857142,None,4.432835820895522,Long_Hair_Goatee_Grey,42.42857142857143,Bandana_Shadow,91.38461538461539,Teeth_Gold,10.421052631578949,Monkey_Blue,16.732394366197184,2
Pirate Life #1044,1044,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1044.png,1669572533531,4,Common,49.0,266.42466772389537,Green,22.846153846153847,Sand,7.288343558282208,Shirt_Blue,13.813953488372093,Bulging_Eyes_Shadow,84.85714285714286,Sword_Right,12.505263157894737,None,1.7142857142857142,Eye_Patch_Dual,37.125,Short_Hair_Beard_White,37.125,Bandana_Green,21.6,Blunt,9.818181818181818,Parrot_Purple,17.73134328358209,2
Pirate Life #1045,1045,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1045.png,1669579206635,4,Common,759.0,140.47566474721398,Red,27.0,Almond,6.527472527472527,Shirt_Blue,13.813953488372093,Angry_Eyes,12.638297872340425,Gun_Right,12.24742268041237,None,1.7142857142857142,Eye_Patch_Left,2.8218527315914486,Long_Hair_Goatee_Brown,33.0,Pirate_Hat_Red,18.5625,Pipe_Silver,9.504,None,2.645879732739421,2
Pirate Life #1046,1046,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1046.png,1669579206767,4,Common,1040.0,120.40727519587294,Yellow,16.732394366197184,Porcelain,5.823529411764706,Neked,3.819935691318328,Angry_Eyes,12.638297872340425,None,1.6545961002785516,Teeth_Blood,18.5625,Eye_Patch_Right,2.54389721627409,Mid_Hair_Goatee_Brown,34.94117647058823,None,1.8977635782747604,Regular_Mouth,5.739130434782608,Parrot_Red,16.054054054054053,2
Pirate Life #1047,1047,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1047.png,1669579206879,4,Common,665.0,147.27357089161086,Aureolin,18.276923076923076,Honey,7.714285714285714,Neked,3.819935691318328,Bulging_Eyes_Blue,14.313253012048193,None,1.6545961002785516,None,1.7142857142857142,Eye_Patch_Right,2.54389721627409,Mid_Hair_Stubble_Ginger,44.0,Bandana_Dust,27.0,Pipe_Silver,9.504,Monkey_Ginger,16.732394366197184,2
Pirate Life #1048,1048,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1048.png,1669579206993,4,Common,1091.0,115.3780743728418,Deep_Violet,18.0,Espresso,6.711864406779662,Neked,3.819935691318328,Stoned_Eyes,13.054945054945055,Gun_Left,13.5,Teeth,9.818181818181818,Eye_Patch_Right,2.54389721627409,Long_Hair_Grey,31.263157894736842,None,1.8977635782747604,Open_Mouth_Gold,12.122448979591837,None,2.645879732739421,2
Pirate Life #1049,1049,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1049.png,1669579207094,4,Common,1179.0,97.15376428922403,Pink,19.161290322580644,Honey,7.714285714285714,Neked,3.819935691318328,Wink_Orange,13.655172413793103,None,1.6545961002785516,None,1.7142857142857142,Eye_Patch_Left,2.8218527315914486,Mid_Hair_Beard_Ginger,33.0,None,1.8977635782747604,Cheeky,9.068702290076336,None,2.645879732739421,2
